student_id,name,major,gpa,country,interests,background,study_level
STU0046,Student 46,Environmental Science,2.16,USA,"Legal Studies, Data Analysis, Business Management",Background description for student 46,Undergraduate
STU0047,Student 47,Data Science,3.11,USA,"Business Management, AI, Machine Learning",Background description for student 47,Masters
STU0048,Student 48,Computer Science,3.02,India,"Legal Studies, Machine Learning, Creative Arts",Background description for student 48,PhD
STU0049,Student 49,Business,2.76,Germany,"Machine Learning, Medical Research, AI",Background description for student 49,PhD
STU0050,Student 50,Arts,2.6,Germany,"Business Management, Web Development, Legal Studies",Background description for student 50,Undergraduate
STU0051,Student 51,Environmental Science,3.14,UAE,"AI, Machine Learning, Legal Studies",Background description for student 51,Masters
STU0052,Student 52,Education,3.98,UK,"Business Management, AI, Legal Studies",Background description for student 52,PhD
STU0053,Student 53,Education,3.92,Australia,"Data Analysis, Creative Arts, Education Technology",Background description for student 53,PhD
STU0054,Student 54,Medicine,2.74,Japan,"Creative Arts, Education Technology, Business Management",Background description for student 54,PhD
STU0055,Student 55,Medicine,2.34,Australia,"Medical Research, Creative Arts, Environmental Conservation",Background description for student 55,PhD
STU0056,Student 56,Law,2.7,UAE,"Creative Arts, Web Development, Data Analysis",Background description for student 56,Masters
STU0057,Student 57,Education,2.92,USA,"Data Analysis, Education Technology, AI",Background description for student 57,PhD
STU0058,Student 58,Environmental Science,3.32,Brazil,"AI, Web Development, Medical Research",Background description for student 58,Masters
STU0059,Student 59,Engineering,3.84,Australia,"Business Management, Creative Arts, Legal Studies",Background description for student 59,Masters
STU0060,Student 60,Education,3.72,India,"Business Management, Legal Studies, AI",Background description for student 60,Undergraduate
STU0061,Student 61,Education,2.42,Canada,"Business Management, Machine Learning, Web Development",Background description for student 61,Masters
STU0062,Student 62,Education,3.65,UK,"Creative Arts, Machine Learning, Medical Research",Background description for student 62,PhD
STU0063,Student 63,Education,2.96,Canada,"Business Management, AI, Data Analysis",Background description for student 63,PhD
STU0064,Student 64,Environmental Science,2.99,Brazil,"Machine Learning, Business Management, Web Development",Background description for student 64,Undergraduate
STU0065,Student 65,Medicine,3.08,South Africa,"Medical Research, Legal Studies, Creative Arts",Background description for student 65,PhD
STU0066,Student 66,Engineering,3.34,UK,"Web Development, AI, Environmental Conservation",Background description for student 66,Masters
STU0067,Student 67,Engineering,3.76,India,"Environmental Conservation, Business Management, Education Technology",Background description for student 67,Masters
STU0068,Student 68,Law,3.92,South Africa,"Creative Arts, Data Analysis, Machine Learning",Background description for student 68,Masters
STU0069,Student 69,Arts,4.38,Germany,"Medical Research, Business Management, Web Development",Background description for student 69,Masters
STU0070,Student 70,Law,3.34,UAE,"Legal Studies, Creative Arts, Medical Research",Background description for student 70,Masters
STU0071,Student 71,Data Science,4.21,Australia,"Creative Arts, Education Technology, Environmental Conservation",Background description for student 71,Undergraduate
STU0072,Student 72,Arts,3.17,Japan,"Environmental Conservation, Web Development, Creative Arts",Background description for student 72,Undergraduate
STU0073,Student 73,Business,3.39,South Africa,"Education Technology, AI, Creative Arts",Background description for student 73,Masters
STU0074,Student 74,Law,2.28,UAE,"Education Technology, Data Analysis, Business Management",Background description for student 74,Masters
STU0075,Student 75,Environmental Science,3.98,UAE,"Machine Learning, Education Technology, Legal Studies",Background description for student 75,PhD
STU0076,Student 76,Education,2.79,Germany,"Web Development, AI, Creative Arts",Background description for student 76,PhD
STU0077,Student 77,Arts,3.32,Germany,"Medical Research, Machine Learning, Environmental Conservation",Background description for student 77,PhD
STU0078,Student 78,Environmental Science,3.68,South Africa,"Business Management, AI, Machine Learning",Background description for student 78,PhD
STU0079,Student 79,Arts,3.6,UAE,"Creative Arts, AI, Business Management",Background description for student 79,Masters
STU0080,Student 80,Law,3.07,UAE,"Education Technology, Data Analysis, Creative Arts",Background description for student 80,Masters
STU0081,Student 81,Business,2.3,Germany,"Machine Learning, Data Analysis, Medical Research",Background description for student 81,PhD
STU0082,Student 82,Engineering,2.87,UK,"Medical Research, Machine Learning, Creative Arts",Background description for student 82,Masters
STU0083,Student 83,Arts,3.19,Brazil,"AI, Education Technology, Medical Research",Background description for student 83,Undergraduate
STU0084,Student 84,Data Science,2.96,Germany,"Environmental Conservation, Education Technology, Medical Research",Background description for student 84,Undergraduate
STU0085,Student 85,Environmental Science,3.44,Brazil,"Education Technology, Medical Research, Machine Learning",Background description for student 85,Masters
STU0086,Student 86,Business,3.42,Australia,"Environmental Conservation, Business Management, Web Development",Background description for student 86,Masters
STU0087,Student 87,Medicine,4.45,Australia,"Education Technology, Environmental Conservation, AI",Background description for student 87,PhD
STU0088,Student 88,Business,4.05,Canada,"Medical Research, Education Technology, Data Analysis",Background description for student 88,Masters
STU0089,Student 89,Environmental Science,3.38,USA,"Legal Studies, Environmental Conservation, AI",Background description for student 89,Undergraduate
STU0090,Student 90,Business,2.64,Australia,"Business Management, Legal Studies, Education Technology",Background description for student 90,Masters
STU0091,Student 91,Computer Science,3.2,Germany,"Legal Studies, AI, Data Analysis",Background description for student 91,Masters
STU0092,Student 92,Law,3.64,Germany,"Data Analysis, Medical Research, Legal Studies",Background description for student 92,Masters
STU0093,Student 93,Business,3.21,Japan,"Data Analysis, Web Development, Medical Research",Background description for student 93,PhD
STU0094,Student 94,Medicine,3.79,Germany,"Legal Studies, Environmental Conservation, Business Management",Background description for student 94,PhD
STU0095,Student 95,Medicine,3.62,USA,"Machine Learning, Creative Arts, Data Analysis",Background description for student 95,Undergraduate
STU0096,Student 96,Education,2.82,Australia,"AI, Machine Learning, Education Technology",Background description for student 96,Masters
STU0097,Student 97,Medicine,3.21,UAE,"AI, Business Management, Creative Arts",Background description for student 97,PhD
STU0098,Student 98,Law,3.2,India,"Data Analysis, Environmental Conservation, Business Management",Background description for student 98,PhD
STU0099,Student 99,Environmental Science,2.36,South Africa,"Education Technology, AI, Environmental Conservation",Background description for student 99,Masters
STU0100,Student 100,Data Science,3.53,Germany,"Data Analysis, AI, Medical Research",Background description for student 100,PhD
STU0101,Student 101,Data Science,2.97,India,"AI, Legal Studies, Environmental Conservation",Background description for student 101,Undergraduate
STU0102,Student 102,Computer Science,3.94,India,"Environmental Conservation, Education Technology, Legal Studies",Background description for student 102,PhD
STU0103,Student 103,Data Science,3.69,India,"Data Analysis, AI, Creative Arts",Background description for student 103,Masters
STU0104,Student 104,Computer Science,1.98,UK,"Environmental Conservation, AI, Data Analysis",Background description for student 104,PhD
STU0105,Student 105,Education,3.01,UK,"Environmental Conservation, Education Technology, Web Development",Background description for student 105,Undergraduate
STU0106,Student 106,Medicine,3.51,Australia,"Education Technology, Environmental Conservation, Creative Arts",Background description for student 106,PhD
STU0107,Student 107,Arts,2.8,USA,"AI, Business Management, Creative Arts",Background description for student 107,Masters
STU0108,Student 108,Data Science,3.33,Japan,"Data Analysis, Environmental Conservation, Machine Learning",Background description for student 108,Undergraduate
STU0109,Student 109,Environmental Science,3.3,Canada,"Medical Research, Legal Studies, Web Development",Background description for student 109,Masters
STU0110,Student 110,Business,2.8,Australia,"Education Technology, Machine Learning, Data Analysis",Background description for student 110,PhD
STU0111,Student 111,Environmental Science,2.92,South Africa,"Environmental Conservation, Machine Learning, Legal Studies",Background description for student 111,Masters
STU0112,Student 112,Engineering,2.68,India,"Medical Research, AI, Data Analysis",Background description for student 112,PhD
STU0113,Student 113,Computer Science,3.83,South Africa,"Creative Arts, Environmental Conservation, Legal Studies",Background description for student 113,Masters
STU0114,Student 114,Education,2.79,India,"Legal Studies, Environmental Conservation, Machine Learning",Background description for student 114,PhD
STU0115,Student 115,Data Science,2.72,Germany,"AI, Legal Studies, Machine Learning",Background description for student 115,PhD
STU0116,Student 116,Data Science,3.38,South Africa,"Business Management, AI, Education Technology",Background description for student 116,PhD
STU0117,Student 117,Business,3.29,Germany,"AI, Environmental Conservation, Legal Studies",Background description for student 117,Undergraduate
STU0118,Student 118,Education,3.31,UAE,"Web Development, Medical Research, Legal Studies",Background description for student 118,Masters
STU0119,Student 119,Arts,3.45,Australia,"Legal Studies, AI, Environmental Conservation",Background description for student 119,Undergraduate
STU0120,Student 120,Computer Science,2.07,Japan,"Data Analysis, AI, Creative Arts",Background description for student 120,Undergraduate
STU0121,Student 121,Business,3.36,India,"Education Technology, Web Development, Data Analysis",Background description for student 121,PhD
STU0122,Student 122,Arts,3.32,Brazil,"Creative Arts, Medical Research, Legal Studies",Background description for student 122,Masters
STU0123,Student 123,Business,2.44,Australia,"Machine Learning, Legal Studies, Medical Research",Background description for student 123,Undergraduate
STU0124,Student 124,Computer Science,3.34,Australia,"Environmental Conservation, Education Technology, Machine Learning",Background description for student 124,PhD
STU0125,Student 125,Law,2.95,India,"Creative Arts, AI, Web Development",Background description for student 125,PhD
STU0126,Student 126,Computer Science,3.22,UK,"Business Management, AI, Web Development",Background description for student 126,Masters
STU0127,Student 127,Environmental Science,3.18,India,"Legal Studies, AI, Medical Research",Background description for student 127,Masters
STU0128,Student 128,Data Science,3.42,Brazil,"Business Management, Medical Research, Environmental Conservation",Background description for student 128,PhD
STU0129,Student 129,Business,2.85,Brazil,"Web Development, Environmental Conservation, Medical Research",Background description for student 129,PhD
STU0130,Student 130,Arts,3.53,Canada,"Medical Research, Creative Arts, Machine Learning",Background description for student 130,Undergraduate
STU0131,Student 131,Environmental Science,4.05,South Africa,"Medical Research, Web Development, Legal Studies",Background description for student 131,Undergraduate
STU0132,Student 132,Data Science,2.97,USA,"Business Management, Legal Studies, Data Analysis",Background description for student 132,PhD
STU0133,Student 133,Engineering,2.59,Germany,"Business Management, Creative Arts, Environmental Conservation",Background description for student 133,Undergraduate
STU0134,Student 134,Arts,3.27,UK,"AI, Legal Studies, Creative Arts",Background description for student 134,Masters
STU0135,Student 135,Medicine,3.33,Australia,"Web Development, Medical Research, Education Technology",Background description for student 135,Undergraduate
STU0136,Student 136,Law,3.5,South Africa,"Education Technology, Creative Arts, Machine Learning",Background description for student 136,PhD
STU0137,Student 137,Business,3.07,UAE,"Legal Studies, Data Analysis, AI",Background description for student 137,Masters
STU0138,Student 138,Business,3.49,UK,"Legal Studies, Medical Research, Environmental Conservation",Background description for student 138,PhD
STU0139,Student 139,Environmental Science,2.41,South Africa,"Legal Studies, Data Analysis, Education Technology",Background description for student 139,PhD
STU0140,Student 140,Engineering,3.06,UAE,"Data Analysis, Machine Learning, Business Management",Background description for student 140,PhD
STU0141,Student 141,Arts,3.68,UAE,"Environmental Conservation, Medical Research, Education Technology",Background description for student 141,PhD
STU0142,Student 142,Arts,3.3,UAE,"Web Development, AI, Business Management",Background description for student 142,Undergraduate
STU0143,Student 143,Medicine,3.07,Germany,"Business Management, Machine Learning, Medical Research",Background description for student 143,PhD
STU0144,Student 144,Education,2.37,Australia,"Web Development, AI, Creative Arts",Background description for student 144,PhD
STU0145,Student 145,Business,3.32,Germany,"Medical Research, Creative Arts, Web Development",Background description for student 145,Undergraduate
STU0146,Student 146,Medicine,4.23,Germany,"Data Analysis, Machine Learning, Environmental Conservation",Background description for student 146,Undergraduate
STU0147,Student 147,Arts,3.97,India,"Creative Arts, Business Management, Data Analysis",Background description for student 147,Masters
STU0148,Student 148,Environmental Science,3.85,India,"Machine Learning, Business Management, Education Technology",Background description for student 148,Undergraduate
STU0149,Student 149,Engineering,4.6,UK,"Medical Research, Creative Arts, Business Management",Background description for student 149,Undergraduate
STU0150,Student 150,Education,3.41,USA,"Medical Research, Environmental Conservation, Data Analysis",Background description for student 150,Undergraduate
STU0151,Student 151,Education,3.89,South Africa,"Web Development, Data Analysis, Legal Studies",Background description for student 151,Undergraduate
STU0152,Student 152,Education,3.79,Canada,"Environmental Conservation, Legal Studies, Business Management",Background description for student 152,Masters
STU0153,Student 153,Environmental Science,2.85,Brazil,"Legal Studies, Web Development, Business Management",Background description for student 153,PhD
STU0154,Student 154,Business,2.19,UK,"Machine Learning, Web Development, Creative Arts",Background description for student 154,Undergraduate
STU0155,Student 155,Computer Science,2.65,South Africa,"Creative Arts, Environmental Conservation, Legal Studies",Background description for student 155,Masters
STU0156,Student 156,Engineering,2.97,Brazil,"Legal Studies, Education Technology, Web Development",Background description for student 156,Undergraduate
STU0157,Student 157,Environmental Science,3.33,Australia,"Creative Arts, Web Development, AI",Background description for student 157,Undergraduate
STU0158,Student 158,Environmental Science,3.0,UAE,"Education Technology, AI, Data Analysis",Background description for student 158,Undergraduate
STU0159,Student 159,Data Science,2.69,UK,"Machine Learning, Business Management, Data Analysis",Background description for student 159,Undergraduate
STU0160,Student 160,Engineering,3.26,South Africa,"Creative Arts, Machine Learning, Data Analysis",Background description for student 160,PhD
STU0161,Student 161,Business,3.21,Brazil,"Legal Studies, AI, Creative Arts",Background description for student 161,Masters
STU0162,Student 162,Law,3.12,Japan,"Data Analysis, Medical Research, Creative Arts",Background description for student 162,Masters
STU0163,Student 163,Computer Science,3.97,Brazil,"Data Analysis, Education Technology, Business Management",Background description for student 163,Undergraduate
STU0164,Student 164,Environmental Science,4.11,UK,"Legal Studies, Business Management, Data Analysis",Background description for student 164,Undergraduate
STU0165,Student 165,Computer Science,3.29,UK,"Education Technology, Data Analysis, Machine Learning",Background description for student 165,Undergraduate
STU0166,Student 166,Data Science,3.67,India,"Education Technology, Creative Arts, Business Management",Background description for student 166,Undergraduate
STU0167,Student 167,Data Science,3.29,UAE,"Legal Studies, Medical Research, Web Development",Background description for student 167,PhD
STU0168,Student 168,Environmental Science,3.31,Japan,"Machine Learning, Business Management, Education Technology",Background description for student 168,Masters
STU0169,Student 169,Law,3.24,UK,"Legal Studies, Medical Research, Business Management",Background description for student 169,Masters
STU0170,Student 170,Business,4.43,Japan,"Creative Arts, Legal Studies, Education Technology",Background description for student 170,Masters
STU0171,Student 171,Medicine,3.24,India,"Education Technology, Creative Arts, Machine Learning",Background description for student 171,Masters
STU0172,Student 172,Medicine,3.56,Germany,"Environmental Conservation, Medical Research, Data Analysis",Background description for student 172,Undergraduate
STU0173,Student 173,Business,3.69,South Africa,"Creative Arts, Legal Studies, AI",Background description for student 173,PhD
STU0174,Student 174,Business,4.04,Brazil,"Data Analysis, Business Management, Creative Arts",Background description for student 174,PhD
STU0175,Student 175,Education,3.53,USA,"Machine Learning, Web Development, Environmental Conservation",Background description for student 175,PhD
STU0176,Student 176,Engineering,2.26,India,"Web Development, Machine Learning, AI",Background description for student 176,PhD
STU0177,Student 177,Business,3.43,India,"Web Development, AI, Legal Studies",Background description for student 177,Undergraduate
STU0178,Student 178,Computer Science,2.7,Canada,"Data Analysis, Education Technology, AI",Background description for student 178,PhD
STU0179,Student 179,Engineering,3.34,Germany,"Data Analysis, Machine Learning, Creative Arts",Background description for student 179,Undergraduate
STU0180,Student 180,Education,3.34,India,"AI, Web Development, Business Management",Background description for student 180,PhD
STU0181,Student 181,Arts,2.8,South Africa,"AI, Environmental Conservation, Legal Studies",Background description for student 181,Masters
STU0182,Student 182,Business,2.79,Australia,"Creative Arts, Machine Learning, Legal Studies",Background description for student 182,Undergraduate
STU0183,Student 183,Computer Science,2.97,Germany,"Environmental Conservation, Medical Research, AI",Background description for student 183,Masters
STU0184,Student 184,Medicine,2.29,Canada,"Creative Arts, Environmental Conservation, Data Analysis",Background description for student 184,Undergraduate
STU0185,Student 185,Engineering,3.23,USA,"Environmental Conservation, Medical Research, Creative Arts",Background description for student 185,Masters
STU0186,Student 186,Computer Science,2.5,USA,"Environmental Conservation, Medical Research, Creative Arts",Background description for student 186,Undergraduate
STU0187,Student 187,Law,2.72,UAE,"Web Development, Creative Arts, Data Analysis",Background description for student 187,Undergraduate
STU0188,Student 188,Arts,3.02,Canada,"Web Development, AI, Medical Research",Background description for student 188,Masters
STU0189,Student 189,Environmental Science,3.37,Japan,"Education Technology, Legal Studies, AI",Background description for student 189,PhD
STU0190,Student 190,Business,2.07,South Africa,"Environmental Conservation, Data Analysis, Business Management",Background description for student 190,Undergraduate
STU0191,Student 191,Environmental Science,2.66,USA,"Data Analysis, Machine Learning, AI",Background description for student 191,PhD
STU0192,Student 192,Arts,2.68,South Africa,"Environmental Conservation, Legal Studies, Creative Arts",Background description for student 192,Undergraduate
STU0193,Student 193,Education,3.42,South Africa,"Web Development, Medical Research, Education Technology",Background description for student 193,PhD
STU0194,Student 194,Medicine,3.29,UK,"Education Technology, Web Development, Environmental Conservation",Background description for student 194,Masters
STU0195,Student 195,Law,3.32,India,"Creative Arts, Data Analysis, Environmental Conservation",Background description for student 195,PhD
STU0196,Student 196,Law,2.96,USA,"Data Analysis, Medical Research, Legal Studies",Background description for student 196,Undergraduate
STU0197,Student 197,Environmental Science,3.81,India,"Machine Learning, Education Technology, Web Development",Background description for student 197,Undergraduate
STU0198,Student 198,Engineering,2.87,Germany,"Education Technology, Creative Arts, Environmental Conservation",Background description for student 198,Masters
STU0199,Student 199,Environmental Science,3.22,Japan,"Data Analysis, Legal Studies, Web Development",Background description for student 199,Undergraduate
STU0200,Student 200,Arts,3.15,South Africa,"Environmental Conservation, Medical Research, Education Technology",Background description for student 200,Masters
STU0201,Student 201,Data Science,2.97,UAE,"Web Development, Education Technology, Legal Studies",Background description for student 201,Undergraduate
STU0202,Student 202,Engineering,2.89,India,"Education Technology, Environmental Conservation, AI",Background description for student 202,PhD
STU0203,Student 203,Arts,4.09,Japan,"Legal Studies, Business Management, Environmental Conservation",Background description for student 203,PhD
STU0204,Student 204,Education,4.15,UAE,"Creative Arts, Machine Learning, Web Development",Background description for student 204,PhD
STU0205,Student 205,Arts,3.22,UAE,"Business Management, Creative Arts, Web Development",Background description for student 205,Masters
STU0206,Student 206,Data Science,2.35,Japan,"Medical Research, Business Management, Web Development",Background description for student 206,Masters
STU0207,Student 207,Computer Science,2.57,Japan,"Data Analysis, Medical Research, Legal Studies",Background description for student 207,Undergraduate
STU0208,Student 208,Medicine,2.7,Japan,"Education Technology, AI, Business Management",Background description for student 208,Undergraduate
STU0209,Student 209,Computer Science,2.55,USA,"Web Development, AI, Education Technology",Background description for student 209,Masters
STU0210,Student 210,Environmental Science,2.75,South Africa,"Machine Learning, Web Development, Medical Research",Background description for student 210,Undergraduate
STU0211,Student 211,Law,2.54,Brazil,"Machine Learning, Web Development, Creative Arts",Background description for student 211,PhD
STU0212,Student 212,Environmental Science,2.23,UAE,"Web Development, AI, Creative Arts",Background description for student 212,PhD
STU0213,Student 213,Business,2.9,UK,"Environmental Conservation, Education Technology, Web Development",Background description for student 213,Undergraduate
STU0214,Student 214,Arts,2.15,Australia,"Legal Studies, Education Technology, Business Management",Background description for student 214,Undergraduate
STU0215,Student 215,Engineering,3.67,UK,"Environmental Conservation, Medical Research, Legal Studies",Background description for student 215,Masters
STU0216,Student 216,Arts,3.07,USA,"Legal Studies, AI, Creative Arts",Background description for student 216,Masters
STU0217,Student 217,Computer Science,3.02,UK,"Data Analysis, Education Technology, Machine Learning",Background description for student 217,Masters
STU0218,Student 218,Medicine,3.18,India,"Education Technology, Data Analysis, Web Development",Background description for student 218,PhD
STU0219,Student 219,Computer Science,2.65,Australia,"Web Development, Education Technology, Environmental Conservation",Background description for student 219,Undergraduate
STU0220,Student 220,Data Science,3.31,India,"Machine Learning, Data Analysis, Environmental Conservation",Background description for student 220,Undergraduate
STU0221,Student 221,Data Science,2.99,Germany,"Business Management, Machine Learning, AI",Background description for student 221,PhD
STU0222,Student 222,Engineering,3.33,Germany,"Data Analysis, Web Development, Machine Learning",Background description for student 222,Masters
STU0223,Student 223,Arts,3.5,Japan,"Creative Arts, Business Management, Environmental Conservation",Background description for student 223,Masters
STU0224,Student 224,Environmental Science,2.65,Germany,"Environmental Conservation, AI, Legal Studies",Background description for student 224,PhD
STU0225,Student 225,Engineering,2.61,India,"Web Development, Machine Learning, Medical Research",Background description for student 225,Masters
STU0226,Student 226,Business,3.44,Japan,"Environmental Conservation, Machine Learning, Creative Arts",Background description for student 226,Undergraduate
STU0227,Student 227,Business,2.78,Australia,"Creative Arts, Medical Research, Web Development",Background description for student 227,Masters
STU0228,Student 228,Engineering,3.94,South Africa,"Medical Research, AI, Creative Arts",Background description for student 228,Undergraduate
STU0229,Student 229,Data Science,3.43,UK,"Business Management, AI, Web Development",Background description for student 229,Undergraduate
STU0230,Student 230,Engineering,1.87,Australia,"Environmental Conservation, AI, Web Development",Background description for student 230,Undergraduate
STU0231,Student 231,Education,3.87,South Africa,"Environmental Conservation, Legal Studies, Data Analysis",Background description for student 231,PhD
STU0232,Student 232,Engineering,3.1,USA,"Machine Learning, Business Management, Legal Studies",Background description for student 232,Undergraduate
STU0233,Student 233,Environmental Science,3.22,Germany,"Data Analysis, Creative Arts, Machine Learning",Background description for student 233,Masters
STU0234,Student 234,Medicine,2.93,Canada,"Medical Research, Data Analysis, Environmental Conservation",Background description for student 234,Undergraduate
STU0235,Student 235,Data Science,3.67,USA,"Data Analysis, Education Technology, Medical Research",Background description for student 235,Undergraduate
STU0236,Student 236,Environmental Science,3.21,Australia,"Medical Research, Web Development, Data Analysis",Background description for student 236,Undergraduate
STU0237,Student 237,Law,2.52,Canada,"Environmental Conservation, Creative Arts, Medical Research",Background description for student 237,Undergraduate
STU0238,Student 238,Education,2.69,South Africa,"AI, Web Development, Machine Learning",Background description for student 238,Undergraduate
STU0239,Student 239,Engineering,3.2,India,"Environmental Conservation, Data Analysis, Medical Research",Background description for student 239,PhD
STU0240,Student 240,Data Science,3.21,UAE,"Creative Arts, Education Technology, Environmental Conservation",Background description for student 240,Masters
STU0241,Student 241,Environmental Science,3.92,Germany,"Web Development, Machine Learning, Creative Arts",Background description for student 241,Undergraduate
STU0242,Student 242,Arts,3.21,Canada,"Business Management, Data Analysis, Medical Research",Background description for student 242,PhD
STU0243,Student 243,Medicine,3.13,Brazil,"Legal Studies, Education Technology, Business Management",Background description for student 243,Undergraduate
STU0244,Student 244,Engineering,3.17,UAE,"Machine Learning, Environmental Conservation, Medical Research",Background description for student 244,Masters
STU0245,Student 245,Computer Science,3.39,UAE,"Data Analysis, Creative Arts, Education Technology",Background description for student 245,PhD
STU0246,Student 246,Engineering,3.7,South Africa,"Environmental Conservation, AI, Machine Learning",Background description for student 246,Undergraduate
STU0247,Student 247,Environmental Science,3.41,Japan,"Medical Research, Environmental Conservation, Legal Studies",Background description for student 247,Undergraduate
STU0248,Student 248,Engineering,3.7,India,"Machine Learning, Environmental Conservation, AI",Background description for student 248,Masters
STU0249,Student 249,Business,3.63,UAE,"Data Analysis, Business Management, AI",Background description for student 249,PhD
STU0250,Student 250,Data Science,3.43,Canada,"AI, Medical Research, Education Technology",Background description for student 250,PhD
STU0251,Student 251,Medicine,3.41,India,"Creative Arts, Environmental Conservation, Machine Learning",Background description for student 251,PhD
STU0252,Student 252,Law,3.38,USA,"Business Management, Web Development, Education Technology",Background description for student 252,Undergraduate
STU0253,Student 253,Engineering,2.66,Japan,"Medical Research, Machine Learning, Data Analysis",Background description for student 253,Masters
